"Statistic Label","Year","Partner Region","Trade Flow","Type of Ownership","NACE Rev 2 Activity","UNIT","VALUE"
"Value","2020","EU27 countries (from 2020)","Imports","Domestically controlled","Agriculture, forestry and fishing (A)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Domestically controlled","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand","1600325.925"
"Value","2020","EU27 countries (from 2020)","Imports","Domestically controlled","Mining and quarrying (B)","Euro Thousand","13272.851"
"Value","2020","EU27 countries (from 2020)","Imports","Domestically controlled","Industry (B - E)","Euro Thousand","1850967.567"
"Value","2020","EU27 countries (from 2020)","Imports","Domestically controlled","Manufacturing (C)","Euro Thousand","1761373.823"
"Value","2020","EU27 countries (from 2020)","Imports","Domestically controlled","Food products (C10)","Euro Thousand","495355.34"
"Value","2020","EU27 countries (from 2020)","Imports","Domestically controlled","Beverages (C11)","Euro Thousand","46050.257"
"Value","2020","EU27 countries (from 2020)","Imports","Domestically controlled","Tobacco products (C12)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Domestically controlled","Textiles (C13)","Euro Thousand","10937.833"
"Value","2020","EU27 countries (from 2020)","Imports","Domestically controlled","Wearing apparel (C14)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Domestically controlled","Leather and related products (C15)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Domestically controlled","Wood and wood products, except furniture (C16)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Domestically controlled","Paper and paper products (C17)","Euro Thousand","46802.87"
"Value","2020","EU27 countries (from 2020)","Imports","Domestically controlled","Printing and reproduction of recorded media (C18)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Domestically controlled","Coke and refined petroleum products (C19)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Domestically controlled","Chemicals and chemical products (C20)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Domestically controlled","Basic pharmaceutical products and preparations (C21)","Euro Thousand","153937.586"
"Value","2020","EU27 countries (from 2020)","Imports","Domestically controlled","Rubber and plastic products (C22)","Euro Thousand","94733.237"
