Year,Partner Region,Trade Flow,Type of Ownership,NACE Rev 2 Activity,VALUE
2020,EU27 countries (from 2020),Imports,Domestically controlled,"Agriculture, forestry and fishing (A)",
2020,EU27 countries (from 2020),Imports,Domestically controlled,"Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)",8012.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Mining and quarrying (B),
2020,EU27 countries (from 2020),Imports,Domestically controlled,Industry (B - E),3060.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Manufacturing (C),2876.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Food products (C10),381.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Beverages (C11),86.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Tobacco products (C12),
2020,EU27 countries (from 2020),Imports,Domestically controlled,Textiles (C13),87.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Wearing apparel (C14),55.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Leather and related products (C15),
2020,EU27 countries (from 2020),Imports,Domestically controlled,"Wood and wood products, except furniture (C16)",127.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Paper and paper products (C17),56.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Printing and reproduction of recorded media (C18),157.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Coke and refined petroleum products (C19),
2020,EU27 countries (from 2020),Imports,Domestically controlled,Chemicals and chemical products (C20),98.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Basic pharmaceutical products and preparations (C21),27.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Rubber and plastic products (C22),133.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Other non-metallic mineral products (C23),163.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Basic metals (C24),57.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,"Fabricated metal products, except machinery and equipment (C25)",362.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,"Computer, electronic and optical products (C26)",87.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Electrical equipment (C27),66.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Machinery and equipment n.e.c. (C28),215.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,"Motor vehicles, trailers and semi-trailers (C29)",46.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Other transport equipment (C30),22.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Furniture (C31),189.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Other manufacturing (C32),176.0
2020,EU27 countries (from 2020),Imports,Domestically controlled,Repair and installation of machinery and equipment (C33),268.0
