Year,Partner Region,Trade Flow,Type of Ownership,NACE Rev 2 Activity,VALUE
2020,EU27 countries (from 2020),Imports,Domestically controlled,"Agriculture, forestry and fishing (A)",
2020,EU27 countries (from 2020),Imports,Domestically controlled,"Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)",1600325.925
2020,EU27 countries (from 2020),Imports,Domestically controlled,Mining and quarrying (B),13272.851
2020,EU27 countries (from 2020),Imports,Domestically controlled,Industry (B - E),1850967.567
2020,EU27 countries (from 2020),Imports,Domestically controlled,Manufacturing (C),1761373.823
2020,EU27 countries (from 2020),Imports,Domestically controlled,Food products (C10),495355.34
2020,EU27 countries (from 2020),Imports,Domestically controlled,Beverages (C11),46050.257
2020,EU27 countries (from 2020),Imports,Domestically controlled,Tobacco products (C12),
2020,EU27 countries (from 2020),Imports,Domestically controlled,Textiles (C13),10937.833
2020,EU27 countries (from 2020),Imports,Domestically controlled,Wearing apparel (C14),
2020,EU27 countries (from 2020),Imports,Domestically controlled,Leather and related products (C15),
2020,EU27 countries (from 2020),Imports,Domestically controlled,"Wood and wood products, except furniture (C16)",
2020,EU27 countries (from 2020),Imports,Domestically controlled,Paper and paper products (C17),46802.87
2020,EU27 countries (from 2020),Imports,Domestically controlled,Printing and reproduction of recorded media (C18),
2020,EU27 countries (from 2020),Imports,Domestically controlled,Coke and refined petroleum products (C19),
2020,EU27 countries (from 2020),Imports,Domestically controlled,Chemicals and chemical products (C20),
2020,EU27 countries (from 2020),Imports,Domestically controlled,Basic pharmaceutical products and preparations (C21),153937.586
2020,EU27 countries (from 2020),Imports,Domestically controlled,Rubber and plastic products (C22),94733.237
2020,EU27 countries (from 2020),Imports,Domestically controlled,Other non-metallic mineral products (C23),74472.953
2020,EU27 countries (from 2020),Imports,Domestically controlled,Basic metals (C24),48848.291
2020,EU27 countries (from 2020),Imports,Domestically controlled,"Fabricated metal products, except machinery and equipment (C25)",86333.869
2020,EU27 countries (from 2020),Imports,Domestically controlled,"Computer, electronic and optical products (C26)",77231.461
2020,EU27 countries (from 2020),Imports,Domestically controlled,Electrical equipment (C27),21495.262
2020,EU27 countries (from 2020),Imports,Domestically controlled,Machinery and equipment n.e.c. (C28),158566.759
2020,EU27 countries (from 2020),Imports,Domestically controlled,"Motor vehicles, trailers and semi-trailers (C29)",17589.167
2020,EU27 countries (from 2020),Imports,Domestically controlled,Other transport equipment (C30),4018.097
2020,EU27 countries (from 2020),Imports,Domestically controlled,Furniture (C31),16797.677
2020,EU27 countries (from 2020),Imports,Domestically controlled,Other manufacturing (C32),70012.034
2020,EU27 countries (from 2020),Imports,Domestically controlled,Repair and installation of machinery and equipment (C33),
2020,EU27 countries (from 2020),Imports,Domestically controlled,"Electricity, gas, steam and air conditioning supply (D)",
