Year,Partner Region,Trade Flow,Product,NACE Rev 2 Activity,VALUE
2020,EU27 countries (from 2020),Imports,"Products of agriculture, forestry and fishing (A)","Agriculture, forestry and fishing (A)",37802.7
2020,EU27 countries (from 2020),Imports,"Products of agriculture, forestry and fishing (A)",Food products (C10),42069.171
2020,EU27 countries (from 2020),Imports,"Products of agriculture, forestry and fishing (A)",Chemicals and chemical products (C20),50.128
2020,EU27 countries (from 2020),Imports,"Products of agriculture, forestry and fishing (A)","Wholesale trade, except of motor vehicles and motorcycles (G46)",326128.498
2020,EU27 countries (from 2020),Imports,Mining and quarrying (B),Food products (C10),1835.662
2020,EU27 countries (from 2020),Imports,Mining and quarrying (B),Chemicals and chemical products (C20),1651.289
2020,EU27 countries (from 2020),Imports,Mining and quarrying (B),Basic pharmaceutical products and preparations (C21),315.352
2020,EU27 countries (from 2020),Imports,Mining and quarrying (B),Other non-metallic mineral products (C23),10830.635
2020,EU27 countries (from 2020),Imports,Mining and quarrying (B),Other manufacturing (C32),814.761
2020,EU27 countries (from 2020),Imports,Mining and quarrying (B),"Wholesale trade, except of motor vehicles and motorcycles (G46)",16621.853
2020,EU27 countries (from 2020),Imports,Mining and quarrying (B),"Retail trade, except of motor vehicles and motorcycles (G47)",1141.349
2020,EU27 countries (from 2020),Imports,Food products  (C10),"Agriculture, forestry and fishing (A)",3143.222
2020,EU27 countries (from 2020),Imports,Food products  (C10),Food products (C10),664177.246
2020,EU27 countries (from 2020),Imports,Food products  (C10),Beverages (C11),25769.903
2020,EU27 countries (from 2020),Imports,Food products  (C10),Chemicals and chemical products (C20),959.623
2020,EU27 countries (from 2020),Imports,Food products  (C10),Basic pharmaceutical products and preparations (C21),6848.123
2020,EU27 countries (from 2020),Imports,Food products  (C10),"Wholesale trade, except of motor vehicles and motorcycles (G46)",832224.424
2020,EU27 countries (from 2020),Imports,Food products  (C10),Financial and insurance activities (K),70629.796
2020,EU27 countries (from 2020),Imports,Beverages (C11),Beverages (C11),67760.711
2020,EU27 countries (from 2020),Imports,Beverages (C11),"Wholesale trade, except of motor vehicles and motorcycles (G46)",172711.629
2020,EU27 countries (from 2020),Imports,Beverages (C11),"Retail trade, except of motor vehicles and motorcycles (G47)",148507.681
2020,EU27 countries (from 2020),Imports,Textiles (C13),"Agriculture, forestry and fishing (A)",451.089
2020,EU27 countries (from 2020),Imports,Textiles (C13),Food products (C10),478.381
2020,EU27 countries (from 2020),Imports,Textiles (C13),Textiles (C13),10199.34
2020,EU27 countries (from 2020),Imports,Textiles (C13),Wearing apparel (C14),5099.799
2020,EU27 countries (from 2020),Imports,Textiles (C13),"Wood and wood products, except furniture (C16)",33.408
2020,EU27 countries (from 2020),Imports,Textiles (C13),Chemicals and chemical products (C20),149.433
2020,EU27 countries (from 2020),Imports,Textiles (C13),Basic pharmaceutical products and preparations (C21),1144.988
2020,EU27 countries (from 2020),Imports,Textiles (C13),Rubber and plastic products (C22),2337.191
2020,EU27 countries (from 2020),Imports,Textiles (C13),Other non-metallic mineral products (C23),1072.486
2020,EU27 countries (from 2020),Imports,Textiles (C13),Machinery and equipment n.e.c. (C28),57.99
2020,EU27 countries (from 2020),Imports,Textiles (C13),Furniture (C31),3990.044
